,elite_avg,env,evals,max,mean,median
0,69.0,AmidarDeterministic-v4,618767.0,69.0,1.15,0.0
1,69.0,AmidarDeterministic-v4,1227476.0,69.0,3.671,0.0
2,69.0,AmidarDeterministic-v4,1834106.0,69.0,7.245,2.0
3,69.0,AmidarDeterministic-v4,2431012.0,69.0,11.797,2.0
4,69.0,AmidarDeterministic-v4,3019711.0,69.0,18.623,12.0
5,69.0,AmidarDeterministic-v4,3655883.0,69.0,24.445,31.0
6,69.0,AmidarDeterministic-v4,4302668.0,69.0,26.065,31.0
7,69.0,AmidarDeterministic-v4,4948738.0,69.0,26.704,31.0
8,69.0,AmidarDeterministic-v4,5594635.0,69.0,27.51,31.0
9,69.0,AmidarDeterministic-v4,6241943.0,69.0,28.017,31.0
10,69.0,AmidarDeterministic-v4,6889674.0,69.0,28.226,31.0
11,69.0,AmidarDeterministic-v4,7536777.0,69.0,28.256,31.0
12,69.0,AmidarDeterministic-v4,8187231.0,69.0,28.716,31.0
13,69.0,AmidarDeterministic-v4,8836579.0,69.0,28.874,31.0
14,69.0,AmidarDeterministic-v4,9485854.0,69.0,29.035,31.0
15,69.0,AmidarDeterministic-v4,10135783.0,69.0,28.981,31.0
16,69.0,AmidarDeterministic-v4,10784495.0,69.0,29.063,31.0
17,69.0,AmidarDeterministic-v4,11434731.0,69.0,29.665,31.0
18,69.0,AmidarDeterministic-v4,12087116.0,69.0,29.741,31.0
19,69.0,AmidarDeterministic-v4,12738517.0,69.0,29.547,31.0
20,69.0,AmidarDeterministic-v4,13388862.0,69.0,29.733,31.0
21,69.0,AmidarDeterministic-v4,14040430.0,69.0,29.742,31.0
22,69.0,AmidarDeterministic-v4,14691662.0,69.0,29.426,31.0
23,69.0,AmidarDeterministic-v4,15341820.0,69.0,29.189,31.0
24,69.0,AmidarDeterministic-v4,15991381.0,69.0,29.511,31.0
25,69.0,AmidarDeterministic-v4,16643039.0,69.0,29.864,31.0
26,69.0,AmidarDeterministic-v4,17292722.0,69.0,29.85,31.0
27,69.0,AmidarDeterministic-v4,17944914.0,69.0,29.745,31.0
28,69.0,AmidarDeterministic-v4,18597027.0,69.0,29.924,31.0
29,69.0,AmidarDeterministic-v4,19246775.0,69.0,29.954,31.0
30,69.0,AmidarDeterministic-v4,19898157.0,69.0,29.772,31.0
31,69.0,AmidarDeterministic-v4,20549627.0,69.0,29.831,31.0
32,69.0,AmidarDeterministic-v4,21200988.0,69.0,29.963,31.0
33,69.0,AmidarDeterministic-v4,21853206.0,69.0,30.117,31.0
34,69.0,AmidarDeterministic-v4,22504286.0,69.0,29.933,31.0
35,69.0,AmidarDeterministic-v4,23155607.0,69.0,30.274,31.0
36,69.0,AmidarDeterministic-v4,23806502.0,69.0,30.098,31.0
37,69.0,AmidarDeterministic-v4,24457744.0,69.0,30.302,31.0
38,69.0,AmidarDeterministic-v4,25109364.0,69.0,29.993,31.0
39,69.0,AmidarDeterministic-v4,25761519.0,69.0,30.028,31.0
40,69.0,AmidarDeterministic-v4,26414038.0,69.0,30.299,31.0
41,69.0,AmidarDeterministic-v4,27066498.0,69.0,30.158,31.0
42,69.0,AmidarDeterministic-v4,27718836.0,69.0,30.307,31.0
43,69.0,AmidarDeterministic-v4,28371923.0,69.0,30.308,31.0
44,69.0,AmidarDeterministic-v4,29024028.0,69.0,30.28,31.0
45,69.0,AmidarDeterministic-v4,29676385.0,69.0,30.222,31.0
46,69.0,AmidarDeterministic-v4,30327600.0,69.0,30.057,31.0
47,69.0,AmidarDeterministic-v4,30977647.0,69.0,30.086,31.0
48,69.0,AmidarDeterministic-v4,31631142.0,69.0,30.33,31.0
49,69.0,AmidarDeterministic-v4,32284629.0,69.0,30.45,31.0
50,69.0,AmidarDeterministic-v4,32936866.0,69.0,30.044,31.0
51,69.0,AmidarDeterministic-v4,33588222.0,69.0,30.206,31.0
52,69.0,AmidarDeterministic-v4,34240036.0,69.0,30.031,31.0
