,elite_avg,evals,max,mean,median
0,638.0,1600000.0,790.0,28.13,0.0
1,765.3333333333334,3200000.0,790.0,66.47,70.0
2,539.0,4800000.0,1160.0,123.21,160.0
3,681.0,6400000.0,1110.0,154.61,160.0
4,659.3333333333334,8000000.0,1110.0,158.37,160.0
5,652.3333333333334,9600000.0,860.0,156.52,160.0
6,680.0,11200000.0,920.0,160.52,160.0
7,958.0,12800000.0,1000.0,164.52,160.0
8,916.6666666666666,14400000.0,1490.0,164.87,160.0
9,1054.6666666666667,16000000.0,1450.0,173.65,170.0
10,1188.6666666666667,17600000.0,1450.0,175.29,180.0
11,1211.3333333333333,19200000.0,1650.0,182.66,180.0
12,1369.0,20800000.0,1450.0,184.19,190.0
13,1125.6666666666667,22400000.0,1850.0,191.87,200.0
14,1208.3333333333333,24000000.0,1450.0,191.58,200.0
15,1306.3333333333333,25600000.0,2390.0,199.16,200.0
16,1257.6666666666667,27200000.0,1530.0,196.59,200.0
17,1269.3333333333333,28800000.0,2140.0,200.94,200.0
18,1315.3333333333333,30400000.0,2140.0,206.46,200.0
19,1261.0,32000000.0,2140.0,206.02,200.0
20,1253.0,33600000.0,2140.0,211.36,200.0
21,1321.3333333333333,35200000.0,1560.0,213.82,200.0
22,1159.6666666666667,36800000.0,2140.0,219.48,200.0
23,1206.6666666666667,38400000.0,1310.0,220.67,210.0
24,1276.6666666666667,40000000.0,2140.0,225.11,210.0
25,1271.0,41600000.0,1620.0,232.24,210.0
26,1437.3333333333333,43200000.0,1870.0,226.9,210.0
27,1390.3333333333333,44800000.0,2140.0,235.45,210.0
28,1251.0,46400000.0,1820.0,227.39,210.0
29,1368.6666666666667,48000000.0,1620.0,238.74,210.0
30,1274.6666666666667,49600000.0,2140.0,247.07,210.0
31,1381.3333333333333,51200000.0,2140.0,247.11,210.0
32,1886.3333333333333,52800000.0,1790.0,245.6,210.0
33,1663.0,54400000.0,2170.0,259.18,210.0
34,1348.3333333333333,56000000.0,2140.0,265.27,210.0
35,1264.3333333333333,57600000.0,1610.0,269.01,220.0
36,1507.3333333333333,59200000.0,1620.0,281.86,220.0
37,1575.3333333333333,60800000.0,2160.0,294.69,220.0
38,1437.3333333333333,62400000.0,2160.0,288.23,220.0
39,1512.6666666666667,64000000.0,2380.0,304.46,220.0
40,1461.0,65600000.0,2320.0,303.34,220.0
41,1438.0,67200000.0,1800.0,312.34,220.0
42,1451.3333333333333,68800000.0,2170.0,321.72,220.0
43,1385.0,70400000.0,2240.0,312.28,220.0
44,1731.6666666666667,72000000.0,2240.0,335.04,220.0
45,1530.0,73600000.0,2160.0,332.63,220.0
46,1418.6666666666667,75200000.0,2170.0,340.67,220.0
47,1466.3333333333333,76800000.0,2370.0,353.82,220.0
48,1483.0,78400000.0,2190.0,340.13,210.0
49,1733.3333333333333,80000000.0,2420.0,358.82,220.0
50,1477.0,81600000.0,2160.0,365.11,220.0
51,1673.0,83200000.0,2420.0,384.68,220.0
52,1783.3333333333333,84800000.0,2220.0,377.34,220.0
53,1883.6666666666667,86400000.0,2180.0,395.79,220.0
54,1557.3333333333333,88000000.0,2540.0,396.87,220.0
55,1650.3333333333333,89600000.0,2230.0,407.65,220.0
56,1586.3333333333333,91200000.0,2420.0,411.45,220.0
57,1544.6666666666667,92800000.0,2390.0,437.72,220.0
58,1412.0,94400000.0,2420.0,441.51,220.0
59,1562.6666666666667,96000000.0,2200.0,460.31,220.0
60,1635.3333333333333,97600000.0,2420.0,455.0,220.0
61,1649.6666666666667,99200000.0,2180.0,472.71,230.0
62,1669.6666666666667,100800000.0,2190.0,481.95,230.0
63,1690.3333333333333,102400000.0,2210.0,517.88,240.0
64,1650.3333333333333,104000000.0,2540.0,524.3,240.0
65,1764.0,105600000.0,2380.0,540.79,250.0
66,1838.0,107200000.0,2380.0,543.11,260.0
67,1810.6666666666667,108800000.0,2370.0,557.72,760.0
68,1642.6666666666667,110400000.0,2330.0,570.3,780.0
69,1765.3333333333333,112000000.0,2350.0,583.13,790.0
70,1744.0,113600000.0,2230.0,571.88,770.0
71,1746.3333333333333,115200000.0,2540.0,565.21,770.0
72,1803.6666666666667,116800000.0,2380.0,574.99,780.0
73,1658.3333333333333,118400000.0,2540.0,591.9,790.0
74,1745.6666666666667,120000000.0,2380.0,587.91,790.0
75,1701.6666666666667,121600000.0,2380.0,599.46,800.0
76,1679.0,123200000.0,2380.0,586.71,790.0
77,1800.0,124800000.0,2380.0,599.3,795.0
78,1884.3333333333333,126400000.0,2230.0,600.96,800.0
79,1949.6666666666667,128000000.0,2250.0,615.2,810.0
80,1861.0,129600000.0,2640.0,623.11,810.0
81,2057.3333333333335,131200000.0,2590.0,624.42,810.0
82,2010.3333333333333,132800000.0,2640.0,628.13,810.0
83,1700.6666666666667,134400000.0,2380.0,648.22,820.0
84,1759.3333333333333,136000000.0,2640.0,628.12,810.0
85,2097.6666666666665,137600000.0,2600.0,645.66,830.0
86,1792.6666666666667,139200000.0,2840.0,634.49,820.0
87,1947.0,140800000.0,2890.0,657.67,840.0
88,1868.3333333333333,142400000.0,2290.0,623.42,810.0
89,1711.3333333333333,144000000.0,2500.0,650.81,830.0
90,1804.6666666666667,145600000.0,2890.0,678.39,850.0
91,1861.6666666666667,147200000.0,2600.0,679.06,850.0
92,1822.0,148800000.0,2380.0,683.11,850.0
93,1825.6666666666667,150400000.0,2600.0,693.15,860.0
94,1919.0,152000000.0,3220.0,687.87,870.0
95,2120.6666666666665,153600000.0,2890.0,703.85,870.0
96,1848.6666666666667,155200000.0,2890.0,682.42,860.0
97,1890.6666666666667,156800000.0,2890.0,698.37,870.0
98,1952.3333333333333,158400000.0,2890.0,691.74,870.0
99,1783.6666666666667,160000000.0,2890.0,672.9,850.0
100,1938.3333333333333,161600000.0,2770.0,684.88,870.0
101,1951.6666666666667,163200000.0,2560.0,699.35,870.0
102,1969.6666666666667,164800000.0,2390.0,706.75,870.0
103,1948.3333333333333,166400000.0,2580.0,717.41,880.0
104,2182.0,168000000.0,2690.0,716.12,880.0
105,2028.3333333333333,169600000.0,2890.0,709.33,880.0
106,1948.3333333333333,171200000.0,2590.0,727.07,880.0
107,1997.0,172800000.0,2400.0,720.9,880.0
108,2002.0,174400000.0,2780.0,738.28,890.0
109,1964.0,176000000.0,2410.0,708.44,880.0
110,2046.3333333333333,177600000.0,2600.0,747.02,910.0
111,1958.3333333333333,179200000.0,2410.0,711.74,880.0
112,2079.0,180800000.0,2570.0,733.49,900.0
113,2045.6666666666667,182400000.0,2570.0,720.0,880.0
114,2060.0,184000000.0,2890.0,736.18,890.0
115,2023.6666666666667,185600000.0,2890.0,768.06,910.0
116,2103.0,187200000.0,2890.0,740.27,900.0
117,2185.6666666666665,188800000.0,2740.0,738.67,895.0
118,2096.3333333333335,190400000.0,2770.0,746.82,900.0
119,2185.6666666666665,192000000.0,2890.0,726.77,910.0
120,2106.0,193600000.0,2210.0,732.4,910.0
121,1970.0,195200000.0,2770.0,739.11,910.0
122,1913.3333333333333,196800000.0,2890.0,752.3,920.0
123,2141.3333333333335,198400000.0,2890.0,758.79,910.0
124,2174.3333333333335,200000000.0,2730.0,754.2,920.0
125,2222.0,201600000.0,2630.0,765.12,920.0
126,2262.0,203200000.0,2630.0,761.51,930.0
127,2192.3333333333335,204800000.0,2630.0,745.77,900.0
128,2150.6666666666665,206400000.0,2500.0,764.03,935.0
129,2338.3333333333335,208000000.0,2770.0,765.01,925.0
130,2291.0,209600000.0,2890.0,778.42,940.0
131,2199.6666666666665,211200000.0,2790.0,745.59,910.0
132,2267.3333333333335,212800000.0,2790.0,780.22,970.0
133,2157.3333333333335,214400000.0,2790.0,782.88,955.0
134,2242.0,216000000.0,2790.0,795.42,980.0
135,2113.0,217600000.0,2780.0,809.26,990.0
136,2287.3333333333335,219200000.0,2790.0,765.51,930.0
137,2043.3333333333333,220800000.0,2790.0,785.39,990.0
138,2409.0,222400000.0,2790.0,802.29,960.0
139,2388.6666666666665,224000000.0,2790.0,803.99,990.0
140,2415.0,225600000.0,2790.0,789.19,940.0
141,2403.0,227200000.0,2570.0,792.01,945.0
142,2245.0,228800000.0,2580.0,796.48,1000.0
143,2433.0,230400000.0,2580.0,811.19,1000.0
144,2280.3333333333335,232000000.0,2540.0,794.4,990.0
145,2415.3333333333335,233600000.0,2780.0,819.47,1000.0
146,2447.3333333333335,235200000.0,2770.0,835.05,1010.0
147,2384.0,236800000.0,2780.0,809.41,1000.0
148,2411.3333333333335,238400000.0,2770.0,827.94,1000.0
149,2245.3333333333335,240000000.0,2770.0,829.01,1010.0
150,2300.0,241600000.0,2770.0,830.98,990.0
151,2207.6666666666665,243200000.0,2830.0,818.72,955.0
152,2425.3333333333335,244800000.0,2760.0,831.35,1010.0
153,2398.0,246400000.0,2770.0,828.53,1000.0
154,2412.3333333333335,248000000.0,2770.0,838.25,1010.0
155,2402.0,249600000.0,2800.0,837.79,1000.0
156,2369.6666666666665,251200000.0,2800.0,860.38,1010.0
157,2433.6666666666665,252800000.0,2770.0,840.9,1010.0
158,2407.6666666666665,254400000.0,2830.0,845.27,1010.0
159,2449.0,256000000.0,2800.0,884.13,1010.0
160,2404.0,257600000.0,2660.0,860.68,1010.0
161,2258.6666666666665,259200000.0,2780.0,882.82,1000.0
162,2425.0,260800000.0,2830.0,886.44,1020.0
163,2425.3333333333335,262400000.0,2810.0,893.32,1010.0
164,2413.3333333333335,264000000.0,2800.0,879.94,1010.0
165,2428.6666666666665,265600000.0,2770.0,886.08,1010.0
166,2404.0,267200000.0,2760.0,911.98,1020.0
167,2464.3333333333335,268800000.0,2780.0,916.61,1030.0
168,2371.3333333333335,270400000.0,2760.0,910.88,1015.0
169,2391.6666666666665,272000000.0,2780.0,918.75,1020.0
170,2355.6666666666665,273600000.0,2800.0,919.53,1020.0
171,2405.0,275200000.0,2790.0,911.97,1020.0
172,2399.3333333333335,276800000.0,2780.0,921.39,1020.0
173,2394.6666666666665,278400000.0,2840.0,895.09,1010.0
174,2389.3333333333335,280000000.0,2640.0,904.57,1020.0
175,2387.0,281600000.0,2760.0,948.7,1040.0
176,2434.6666666666665,283200000.0,2780.0,910.43,1020.0
177,2400.3333333333335,284800000.0,2750.0,926.71,1025.0
178,2426.0,286400000.0,2750.0,948.59,1050.0
179,2384.3333333333335,288000000.0,2780.0,951.86,1050.0
180,2407.6666666666665,289600000.0,2780.0,915.91,1030.0
181,2379.6666666666665,291200000.0,2780.0,934.71,1040.0
182,2400.0,292800000.0,2760.0,929.48,1050.0
183,2418.0,294400000.0,2780.0,939.24,1050.0
184,2378.6666666666665,296000000.0,2660.0,931.79,1035.0
185,2394.6666666666665,297600000.0,2970.0,944.83,1050.0
186,2399.3333333333335,299200000.0,2970.0,948.89,1060.0
187,2386.0,300800000.0,2990.0,942.26,1060.0
188,2343.6666666666665,302400000.0,2770.0,955.95,1070.0
189,2468.3333333333335,304000000.0,2980.0,954.06,1060.0
190,2459.3333333333335,305600000.0,2750.0,955.77,1060.0
191,2361.0,307200000.0,2760.0,996.54,1100.0
192,2393.0,308800000.0,2780.0,995.97,1120.0
193,2326.0,310400000.0,2850.0,990.24,1090.0
194,2431.0,312000000.0,2780.0,991.27,1100.0
195,2382.6666666666665,313600000.0,2980.0,982.86,1100.0
196,2355.3333333333335,315200000.0,2780.0,975.39,1100.0
197,2450.6666666666665,316800000.0,2780.0,1029.97,1160.0
198,2419.3333333333335,318400000.0,2990.0,985.13,1100.0
199,2375.3333333333335,320000000.0,2990.0,1007.88,1145.0
200,2382.0,321600000.0,2780.0,998.24,1120.0
201,2332.6666666666665,323200000.0,2780.0,997.69,1100.0
202,2445.0,324800000.0,2970.0,1006.64,1115.0
203,2361.3333333333335,326400000.0,2770.0,1000.92,1125.0
204,2426.3333333333335,328000000.0,2990.0,1008.88,1135.0
205,2424.0,329600000.0,2590.0,993.92,1100.0
206,2363.0,331200000.0,2990.0,1004.07,1155.0
207,2381.0,332800000.0,2770.0,1045.52,1190.0
208,2281.6666666666665,334400000.0,2760.0,1013.73,1165.0
209,2414.0,336000000.0,2780.0,1015.14,1175.0
210,2260.6666666666665,337600000.0,2780.0,1019.39,1140.0
211,2469.3333333333335,339200000.0,2760.0,1033.0,1180.0
212,2389.0,340800000.0,2780.0,1041.84,1190.0
213,2409.3333333333335,342400000.0,2780.0,1026.49,1145.0
214,2371.3333333333335,344000000.0,2830.0,1019.72,1165.0
215,2381.3333333333335,345600000.0,2980.0,1059.03,1190.0
216,2426.0,347200000.0,2780.0,1042.34,1175.0
217,2396.3333333333335,348800000.0,2800.0,1036.42,1190.0
218,2464.3333333333335,350400000.0,2640.0,1048.52,1200.0
219,2375.3333333333335,352000000.0,2830.0,1058.81,1200.0
220,2374.3333333333335,353600000.0,2940.0,1089.09,1200.0
221,2395.3333333333335,355200000.0,3020.0,1066.37,1190.0
222,2314.0,356800000.0,2970.0,1076.72,1190.0
223,2409.3333333333335,358400000.0,3020.0,1054.89,1170.0
224,2451.0,360000000.0,2790.0,1077.17,1200.0
225,2400.3333333333335,361600000.0,2760.0,1088.21,1185.0
226,2415.6666666666665,363200000.0,3000.0,1062.4,1210.0
227,2420.0,364800000.0,2670.0,1095.57,1200.0
228,2393.0,366400000.0,2770.0,1051.27,1105.0
229,2394.3333333333335,368000000.0,2990.0,1084.5,1190.0
230,2376.6666666666665,369600000.0,2830.0,1115.66,1210.0
231,2400.6666666666665,371200000.0,3020.0,1129.12,1210.0
232,2415.6666666666665,372800000.0,2610.0,1123.15,1220.0
233,2432.6666666666665,374400000.0,3020.0,1132.55,1210.0
234,2407.3333333333335,376000000.0,3000.0,1157.54,1240.0
235,2400.3333333333335,377600000.0,2810.0,1149.35,1220.0
236,2362.6666666666665,379200000.0,2610.0,1148.34,1220.0
237,2408.6666666666665,380800000.0,2760.0,1142.8,1225.0
238,2379.3333333333335,382400000.0,2770.0,1153.18,1220.0
239,2398.3333333333335,384000000.0,2770.0,1162.02,1220.0
240,2431.0,385600000.0,2770.0,1160.26,1240.0
241,2385.6666666666665,387200000.0,2770.0,1199.9,1260.0
242,2446.6666666666665,388800000.0,2760.0,1210.68,1280.0
243,2445.0,390400000.0,2770.0,1216.18,1275.0
244,2435.3333333333335,392000000.0,2960.0,1245.48,1380.0
245,2416.0,393600000.0,2650.0,1220.71,1290.0
246,2359.6666666666665,395200000.0,2770.0,1193.43,1175.0
247,2377.6666666666665,396800000.0,2770.0,1227.92,1380.0
248,2440.3333333333335,398400000.0,2770.0,1231.62,1295.0
249,2409.3333333333335,400000000.0,2640.0,1247.94,1390.0
250,2428.3333333333335,401600000.0,2760.0,1288.45,1440.0
251,2431.3333333333335,403200000.0,2580.0,1281.02,1420.0
252,2499.3333333333335,404800000.0,2830.0,1316.85,1460.0
253,2358.3333333333335,406400000.0,2920.0,1312.12,1600.0
254,2494.0,408000000.0,2920.0,1312.5,1630.0
255,2369.3333333333335,409600000.0,2650.0,1305.92,1335.0
256,2386.0,411200000.0,2830.0,1315.27,1455.0
257,2382.3333333333335,412800000.0,2830.0,1337.16,1800.0
258,2379.0,414400000.0,2950.0,1341.85,2135.0
259,2434.3333333333335,416000000.0,2830.0,1349.32,2140.0
260,2374.3333333333335,417600000.0,2620.0,1319.73,1710.0
261,2380.3333333333335,419200000.0,2930.0,1342.13,2140.0
262,2353.3333333333335,420800000.0,2950.0,1367.12,2140.0
263,2410.0,422400000.0,2760.0,1354.19,2140.0
264,2415.6666666666665,424000000.0,2610.0,1349.26,2140.0
265,2405.0,425600000.0,2560.0,1333.21,2140.0
266,2371.0,427200000.0,2760.0,1379.95,2150.0
267,2401.3333333333335,428800000.0,2560.0,1380.32,2150.0
268,2376.3333333333335,430400000.0,2600.0,1351.82,2140.0
269,2416.3333333333335,432000000.0,2580.0,1352.23,2145.0
270,2423.0,433600000.0,2760.0,1349.57,2150.0
271,2409.0,435200000.0,2720.0,1344.94,2150.0
272,2381.0,436800000.0,2560.0,1367.75,2150.0
273,2388.0,438400000.0,2780.0,1334.69,2140.0
274,2405.6666666666665,440000000.0,2570.0,1331.41,2140.0
275,2391.3333333333335,441600000.0,2650.0,1372.06,2150.0
276,2381.3333333333335,443200000.0,2780.0,1353.85,2140.0
277,2457.0,444800000.0,2780.0,1360.9,2150.0
278,2416.6666666666665,446400000.0,2670.0,1388.81,2150.0
279,2388.6666666666665,448000000.0,2580.0,1368.0,2150.0
280,2321.3333333333335,449600000.0,2790.0,1350.72,2150.0
281,2436.3333333333335,451200000.0,2770.0,1365.91,2150.0
282,2402.0,452800000.0,2640.0,1368.51,2150.0
283,2376.3333333333335,454400000.0,2560.0,1368.44,2150.0
284,2339.0,456000000.0,2770.0,1350.87,2150.0
285,2380.0,457600000.0,2600.0,1340.02,2150.0
286,2443.0,459200000.0,2580.0,1342.79,2150.0
287,2411.6666666666665,460800000.0,2570.0,1344.74,2150.0
288,2440.3333333333335,462400000.0,2650.0,1364.62,2150.0
289,2420.6666666666665,464000000.0,2570.0,1355.95,2150.0
290,2427.3333333333335,465600000.0,2480.0,1351.66,2150.0
291,2414.0,467200000.0,2760.0,1357.68,2150.0
292,2384.0,468800000.0,2760.0,1362.59,2150.0
293,2412.3333333333335,470400000.0,2580.0,1375.02,2150.0
294,2429.0,472000000.0,2650.0,1334.9,2140.0
295,2420.0,473600000.0,2630.0,1356.52,2150.0
296,2406.0,475200000.0,2650.0,1348.41,2145.0
297,2406.0,476800000.0,2920.0,1378.63,2160.0
298,2435.6666666666665,478400000.0,2650.0,1341.5,2150.0
299,2405.3333333333335,480000000.0,2790.0,1377.41,2160.0
300,2331.3333333333335,481600000.0,2960.0,1393.96,2160.0
301,2369.3333333333335,483200000.0,2590.0,1341.17,2140.0
302,2376.0,484800000.0,2700.0,1385.28,2160.0
303,2363.3333333333335,486400000.0,2560.0,1375.51,2160.0
304,2365.0,488000000.0,2570.0,1327.93,2140.0
305,2442.6666666666665,489600000.0,2610.0,1343.41,2150.0
306,2521.6666666666665,491200000.0,2560.0,1382.25,2160.0
307,2423.3333333333335,492800000.0,2720.0,1382.48,2160.0
308,2427.3333333333335,494400000.0,2760.0,1364.13,2150.0
309,2402.3333333333335,496000000.0,2560.0,1377.21,2150.0
310,2371.6666666666665,497600000.0,2570.0,1406.97,2160.0
311,2423.6666666666665,499200000.0,2560.0,1378.9,2160.0
312,2328.3333333333335,500800000.0,2570.0,1330.73,2140.0
313,2385.3333333333335,502400000.0,2670.0,1384.89,2160.0
314,2390.6666666666665,504000000.0,2770.0,1369.6,2160.0
315,2355.0,505600000.0,2600.0,1375.58,2160.0
316,2355.0,507200000.0,2560.0,1389.45,2160.0
317,2400.0,508800000.0,2680.0,1394.16,2160.0
318,2400.0,510400000.0,2560.0,1340.83,2150.0
319,2360.6666666666665,512000000.0,2580.0,1382.86,2160.0
320,2451.3333333333335,513600000.0,2770.0,1365.69,2150.0
321,2428.3333333333335,515200000.0,2560.0,1359.96,2150.0
322,2352.3333333333335,516800000.0,2570.0,1377.99,2160.0
323,2408.0,518400000.0,2750.0,1388.72,2160.0
324,2372.6666666666665,520000000.0,2560.0,1377.86,2160.0
325,2408.6666666666665,521600000.0,2560.0,1364.95,2160.0
326,2410.3333333333335,523200000.0,2560.0,1369.18,2160.0
327,2365.0,524800000.0,2590.0,1386.29,2160.0
328,2416.0,526400000.0,2600.0,1352.93,2160.0
329,2558.0,528000000.0,2840.0,1379.88,2160.0
330,2387.6666666666665,529600000.0,2840.0,1337.47,2160.0
331,2454.0,531200000.0,2560.0,1353.96,2150.0
332,2416.3333333333335,532800000.0,2750.0,1351.48,2160.0
333,2406.0,534400000.0,2600.0,1409.83,2170.0
334,2547.6666666666665,536000000.0,2580.0,1375.04,2160.0
335,2476.3333333333335,537600000.0,2840.0,1377.33,2160.0
336,2413.6666666666665,539200000.0,2600.0,1371.51,2170.0
337,2486.6666666666665,540800000.0,2570.0,1393.57,2170.0
338,2459.3333333333335,542400000.0,2750.0,1385.78,2170.0
339,2451.6666666666665,544000000.0,2580.0,1390.36,2170.0
340,2347.0,545600000.0,2750.0,1358.95,2150.0
341,2485.0,547200000.0,2840.0,1374.33,2150.0
342,2514.0,548800000.0,2840.0,1390.56,2170.0
343,2445.6666666666665,550400000.0,2600.0,1358.03,2170.0
344,2378.6666666666665,552000000.0,2790.0,1394.8,2170.0
345,2499.0,553600000.0,2840.0,1437.38,2170.0
346,2435.3333333333335,555200000.0,2610.0,1372.25,2170.0
347,2485.0,556800000.0,2570.0,1396.41,2170.0
348,2401.6666666666665,558400000.0,2610.0,1334.4,2150.0
349,2448.6666666666665,560000000.0,2570.0,1381.35,2160.0
350,2489.3333333333335,561600000.0,2560.0,1391.23,2170.0
351,2363.3333333333335,563200000.0,2780.0,1380.3,2170.0
352,2404.0,564800000.0,2590.0,1377.26,2170.0
353,2405.0,566400000.0,2590.0,1376.46,2170.0
354,2399.6666666666665,568000000.0,2570.0,1404.22,2170.0
355,2408.0,569600000.0,2790.0,1407.12,2175.0
356,2328.6666666666665,571200000.0,2560.0,1384.1,2160.0
357,2402.0,572800000.0,2620.0,1362.48,2140.0
358,2398.6666666666665,574400000.0,2850.0,1344.08,2145.0
359,2426.0,576000000.0,2600.0,1357.19,2150.0
360,2520.0,577600000.0,2600.0,1350.92,2155.0
361,2414.6666666666665,579200000.0,2570.0,1386.95,2170.0
362,2385.3333333333335,580800000.0,2590.0,1364.49,2170.0
363,2401.0,582400000.0,2590.0,1366.92,2160.0
364,2389.6666666666665,584000000.0,2810.0,1398.54,2170.0
365,2386.0,585600000.0,2810.0,1366.63,2170.0
366,2389.0,587200000.0,2560.0,1391.48,2170.0
367,2424.6666666666665,588800000.0,2590.0,1344.91,2170.0
368,2342.3333333333335,590400000.0,2610.0,1358.04,2160.0
369,2378.0,592000000.0,2760.0,1375.74,2170.0
370,2432.6666666666665,593600000.0,2590.0,1395.93,2170.0
371,2406.0,595200000.0,2770.0,1377.09,2170.0
372,2458.0,596800000.0,2620.0,1368.26,2170.0
373,2413.0,598400000.0,2830.0,1407.68,2175.0
374,2451.6666666666665,600000000.0,2770.0,1364.91,2170.0
375,2326.0,601600000.0,2600.0,1351.93,2160.0
376,2343.0,603200000.0,2700.0,1366.18,2160.0
377,2383.0,604800000.0,2600.0,1395.67,2170.0
378,2326.0,606400000.0,2740.0,1388.05,2170.0
379,2386.0,608000000.0,2570.0,1404.34,2170.0
